Timestamp,User_ID,Action_Type,Value_1,Value_2,Current_Selector,Robot_Location
2025-12-28 16:07:05.351225,SYSTEM,EXPERIMENT_START,Button Pressed,,user_1,充電ドック
2025-12-28 16:07:16.120530,user_1,TIME_DEST_SELECT,10.776,7,user_1,充電ドック
2025-12-28 16:07:35.620013,user_2,TIME_ROUTE_SELECT,19.499,route_center,user_1,充電ドック
2025-12-28 16:07:35.620013,SYSTEM,TIME_TOTAL_SELECT,30.276,,user_1,充電ドック
2025-12-28 16:07:35.628548,user_1,SERVO_SUMMARY_IDLE,0,0.0,user_1,充電ドック
2025-12-28 16:07:35.628548,user_2,SERVO_SUMMARY_IDLE,0,0.0,user_1,充電ドック
2025-12-28 16:07:35.684607,SYSTEM,START_MOVING,To: 7,Route: route_center,user_1,充電ドック
2025-12-28 16:08:01.967154,SYSTEM,WAYPOINT_ARRIVED,At: b,,user_1,b
2025-12-28 16:08:13.983596,SYSTEM,WAYPOINT_ARRIVED,At: d,,user_1,d
2025-12-28 16:08:30.662781,user_1,SERVO_SUMMARY_MOVING,32,27.374,user_1,7
2025-12-28 16:08:30.664420,user_2,SERVO_SUMMARY_MOVING,7,12.465,user_1,7
2025-12-28 16:08:30.664420,SYSTEM,TIME_TRAVEL,55.034,To: 7,user_1,7
2025-12-28 16:08:30.665982,SYSTEM,ROLE_SWAP,At: 7,user_1->user_2,user_2,7
2025-12-28 16:09:03.955857,user_2,TIME_DEST_SELECT,33.291,8,user_2,7
2025-12-28 16:09:20.456178,user_1,TIME_ROUTE_SELECT,16.5,route_right,user_2,7
2025-12-28 16:09:20.456178,SYSTEM,TIME_TOTAL_SELECT,49.792,,user_2,7
2025-12-28 16:09:20.466668,user_1,SERVO_SUMMARY_IDLE,12,3.956,user_2,7
2025-12-28 16:09:20.467212,user_2,SERVO_SUMMARY_IDLE,4,2.561,user_2,7
2025-12-28 16:09:20.469908,SYSTEM,START_MOVING,To: 8,Route: route_right,user_2,7
2025-12-28 16:09:35.671493,SYSTEM,WAYPOINT_ARRIVED,At: d,,user_2,d
2025-12-28 16:09:49.308991,SYSTEM,WAYPOINT_ARRIVED,At: f,,user_2,f
2025-12-28 16:10:10.119749,SYSTEM,WAYPOINT_ARRIVED,At: e,,user_2,e
2025-12-28 16:10:23.242197,SYSTEM,WAYPOINT_ARRIVED,At: c,,user_2,c
2025-12-28 16:10:39.875892,user_1,SERVO_SUMMARY_MOVING,31,22.978,user_2,8
2025-12-28 16:10:39.875892,user_2,SERVO_SUMMARY_MOVING,2,2.774,user_2,8
2025-12-28 16:10:39.875892,SYSTEM,TIME_TRAVEL,79.409,To: 8,user_2,8
2025-12-28 16:10:39.880976,SYSTEM,ROLE_SWAP,At: 8,user_2->user_1,user_1,8
2025-12-28 16:11:21.691344,user_1,TIME_DEST_SELECT,41.815,3,user_1,8
2025-12-28 16:11:34.794756,user_2,TIME_ROUTE_SELECT,13.103,route_center,user_1,8
2025-12-28 16:11:34.794756,SYSTEM,TIME_TOTAL_SELECT,54.919,,user_1,8
2025-12-28 16:11:34.807568,user_1,SERVO_SUMMARY_IDLE,24,7.025,user_1,8
2025-12-28 16:11:34.807568,user_2,SERVO_SUMMARY_IDLE,7,2.668,user_1,8
2025-12-28 16:11:34.807568,SYSTEM,START_MOVING,To: 3,Route: route_center,user_1,8
2025-12-28 16:11:54.035797,SYSTEM,WAYPOINT_ARRIVED,At: d,,user_1,d
2025-12-28 16:12:07.732576,SYSTEM,WAYPOINT_ARRIVED,At: b,,user_1,b
2025-12-28 16:12:19.349583,user_1,SERVO_SUMMARY_MOVING,13,9.432,user_1,3
2025-12-28 16:12:19.351665,user_2,SERVO_SUMMARY_MOVING,0,0.0,user_1,3
2025-12-28 16:12:19.351665,SYSTEM,TIME_TRAVEL,44.542,To: 3,user_1,3
2025-12-28 16:12:19.351665,SYSTEM,ROLE_SWAP,At: 3,user_1->user_2,user_2,3
2025-12-28 16:12:51.504211,user_2,TIME_DEST_SELECT,32.153,4,user_2,3
2025-12-28 16:13:02.244148,user_1,TIME_ROUTE_SELECT,10.74,route_center,user_2,3
2025-12-28 16:13:02.245742,SYSTEM,TIME_TOTAL_SELECT,42.892,,user_2,3
2025-12-28 16:13:02.250940,user_1,SERVO_SUMMARY_IDLE,14,7.061,user_2,3
2025-12-28 16:13:02.252004,user_2,SERVO_SUMMARY_IDLE,0,0.0,user_2,3
2025-12-28 16:13:02.253542,SYSTEM,START_MOVING,To: 4,Route: route_center,user_2,3
2025-12-28 16:13:12.742780,SYSTEM,WAYPOINT_ARRIVED,At: b,,user_2,b
2025-12-28 16:13:23.841475,SYSTEM,WAYPOINT_ARRIVED,At: d,,user_2,d
2025-12-28 16:13:45.041776,SYSTEM,WAYPOINT_ARRIVED,At: c,,user_2,c
2025-12-28 16:13:59.708878,SYSTEM,WAYPOINT_ARRIVED,At: a,,user_2,a
2025-12-28 16:14:16.349841,user_1,SERVO_SUMMARY_MOVING,18,17.156,user_2,4
2025-12-28 16:14:16.349841,user_2,SERVO_SUMMARY_MOVING,2,0.572,user_2,4
2025-12-28 16:14:16.349841,SYSTEM,TIME_TRAVEL,74.099,To: 4,user_2,4
2025-12-28 16:14:16.349841,SYSTEM,ROLE_SWAP,At: 4,user_2->user_1,user_1,4
2025-12-28 16:21:10.467785,user_2,DISCONNECT,Kachaka WS,,user_1,4
2025-12-28 16:21:10.469804,user_1,DISCONNECT,Kachaka WS,,user_1,4
