Timestamp,User_ID,Action_Type,Value_1,Value_2,Current_Selector,Robot_Location
2025-12-28 16:25:10.087668,SYSTEM,EXPERIMENT_START,Button Pressed,,user_1,充電ドック
2025-12-28 16:25:42.778425,user_1,TIME_DEST_SELECT,32.698,10,user_1,充電ドック
2025-12-28 16:25:46.567872,user_1,TIME_ROUTE_SELECT,3.789,route_left,user_1,充電ドック
2025-12-28 16:25:46.567872,SYSTEM,TIME_TOTAL_SELECT,36.487,,user_1,充電ドック
2025-12-28 16:25:46.579593,user_1,SERVO_SUMMARY_IDLE,0,0.0,user_1,充電ドック
2025-12-28 16:25:46.579593,user_2,SERVO_SUMMARY_IDLE,0,0.0,user_1,充電ドック
2025-12-28 16:25:46.633892,SYSTEM,START_MOVING,To: 10,Route: route_left,user_1,充電ドック
2025-12-28 16:25:56.318710,SYSTEM,WAYPOINT_ARRIVED,At: a,,user_1,a
2025-12-28 16:26:06.830224,SYSTEM,WAYPOINT_ARRIVED,At: c,,user_1,c
2025-12-28 16:26:19.400747,SYSTEM,WAYPOINT_ARRIVED,At: e,,user_1,e
2025-12-28 16:26:42.072710,user_1,SERVO_SUMMARY_MOVING,17,5.451,user_1,10
2025-12-28 16:26:42.072710,user_2,SERVO_SUMMARY_MOVING,16,9.265,user_1,10
2025-12-28 16:26:42.077031,SYSTEM,TIME_TRAVEL,55.494,To: 10,user_1,10
2025-12-28 16:26:42.077031,SYSTEM,ROLE_SWAP,At: 10,user_1->user_2,user_2,10
2025-12-28 16:27:14.429282,user_2,TIME_DEST_SELECT,32.352,5,user_2,10
2025-12-28 16:27:22.760485,user_2,TIME_ROUTE_SELECT,8.331,route_left,user_2,10
2025-12-28 16:27:22.760485,SYSTEM,TIME_TOTAL_SELECT,40.683,,user_2,10
2025-12-28 16:27:22.772567,user_1,SERVO_SUMMARY_IDLE,9,1.634,user_2,10
2025-12-28 16:27:22.772567,user_2,SERVO_SUMMARY_IDLE,7,2.475,user_2,10
2025-12-28 16:27:22.772567,SYSTEM,START_MOVING,To: 5,Route: route_left,user_2,10
2025-12-28 16:27:37.011557,SYSTEM,WAYPOINT_ARRIVED,At: e,,user_2,e
2025-12-28 16:27:52.120108,SYSTEM,WAYPOINT_ARRIVED,At: c,,user_2,c
2025-12-28 16:28:03.702178,SYSTEM,WAYPOINT_ARRIVED,At: a,,user_2,a
2025-12-28 16:28:24.453715,user_1,SERVO_SUMMARY_MOVING,3,0.604,user_2,5
2025-12-28 16:28:24.455315,user_2,SERVO_SUMMARY_MOVING,4,1.121,user_2,5
2025-12-28 16:28:24.456885,SYSTEM,TIME_TRAVEL,61.681,To: 5,user_2,5
2025-12-28 16:28:24.458973,SYSTEM,ROLE_SWAP,At: 5,user_2->user_1,user_1,5
2025-12-28 16:29:12.086746,user_1,TIME_DEST_SELECT,47.63,8,user_1,5
2025-12-28 16:29:18.334692,user_1,TIME_ROUTE_SELECT,6.248,route_center,user_1,5
2025-12-28 16:29:18.334692,SYSTEM,TIME_TOTAL_SELECT,53.878,,user_1,5
2025-12-28 16:29:18.341100,user_1,SERVO_SUMMARY_IDLE,14,2.603,user_1,5
2025-12-28 16:29:18.345110,user_2,SERVO_SUMMARY_IDLE,11,3.33,user_1,5
2025-12-28 16:29:18.345110,SYSTEM,START_MOVING,To: 8,Route: route_center,user_1,5
2025-12-28 16:29:35.082298,SYSTEM,WAYPOINT_ARRIVED,At: a,,user_1,a
2025-12-28 16:29:47.185353,SYSTEM,WAYPOINT_ARRIVED,At: c,,user_1,c
2025-12-28 16:30:01.426560,user_1,SERVO_SUMMARY_MOVING,3,1.848,user_1,8
2025-12-28 16:30:01.429219,user_2,SERVO_SUMMARY_MOVING,0,0.0,user_1,8
2025-12-28 16:30:01.429219,SYSTEM,TIME_TRAVEL,43.085,To: 8,user_1,8
2025-12-28 16:30:01.429219,SYSTEM,ROLE_SWAP,At: 8,user_1->user_2,user_2,8
2025-12-28 16:30:34.209631,user_2,TIME_DEST_SELECT,32.78,6,user_2,8
2025-12-28 16:30:37.658096,user_2,TIME_ROUTE_SELECT,3.448,route_left,user_2,8
2025-12-28 16:30:37.658096,SYSTEM,TIME_TOTAL_SELECT,36.229,,user_2,8
2025-12-28 16:30:37.737129,user_1,SERVO_SUMMARY_IDLE,15,4.335,user_2,8
2025-12-28 16:30:37.737129,user_2,SERVO_SUMMARY_IDLE,10,2.267,user_2,8
2025-12-28 16:30:37.743076,SYSTEM,START_MOVING,To: 6,Route: route_left,user_2,8
2025-12-28 16:30:56.973325,user_1,SERVO_SUMMARY_MOVING,2,0.376,user_2,6
2025-12-28 16:30:56.975015,user_2,SERVO_SUMMARY_MOVING,3,0.726,user_2,6
2025-12-28 16:30:56.975015,SYSTEM,TIME_TRAVEL,19.236,To: 6,user_2,6
2025-12-28 16:30:56.975015,SYSTEM,ROLE_SWAP,At: 6,user_2->user_1,user_1,6
2025-12-28 16:32:35.024442,user_1,DISCONNECT,Kachaka WS,,user_1,6
2025-12-28 16:32:55.949880,user_2,DISCONNECT,Kachaka WS,,user_1,6
