Timestamp,User_ID,Action_Type,Value_1,Value_2,Current_Selector,Robot_Location
2025-12-26 17:27:37.196606,SYSTEM,EXPERIMENT_START,Button Pressed,,user_1,充電ドック
2025-12-26 17:27:46.309273,user_1,TIME_DEST_SELECT,9.113,3,user_1,充電ドック
2025-12-26 17:28:28.687689,user_2,TIME_ROUTE_SELECT,42.378,route_center,user_1,充電ドック
2025-12-26 17:28:28.687689,SYSTEM,TIME_TOTAL_SELECT,51.491,,user_1,充電ドック
2025-12-26 17:28:28.695752,user_1,SERVO_SUMMARY_IDLE,5,0.883,user_1,充電ドック
2025-12-26 17:28:28.698751,user_2,SERVO_SUMMARY_IDLE,0,0.0,user_1,充電ドック
2025-12-26 17:28:28.753684,SYSTEM,START_MOVING,To: 3,Route: route_center,user_1,充電ドック
2025-12-26 17:28:38.406311,SYSTEM,WAYPOINT_ARRIVED,At: a,,user_1,a
2025-12-26 17:28:50.507560,SYSTEM,WAYPOINT_ARRIVED,At: c,,user_1,c
2025-12-26 17:29:06.246023,SYSTEM,WAYPOINT_ARRIVED,At: d,,user_1,d
2025-12-26 17:29:19.990038,SYSTEM,WAYPOINT_ARRIVED,At: b,,user_1,b
2025-12-26 17:29:33.635923,user_1,SERVO_SUMMARY_MOVING,17,10.688,user_1,3
2025-12-26 17:29:33.638316,user_2,SERVO_SUMMARY_MOVING,3,0.402,user_1,3
2025-12-26 17:29:33.640591,SYSTEM,TIME_TRAVEL,64.94,To: 3,user_1,3
2025-12-26 17:29:33.642788,SYSTEM,ROLE_SWAP,At: 3,user_1->user_2,user_2,3
2025-12-26 17:30:05.750928,user_2,TIME_DEST_SELECT,32.11,4,user_2,3
2025-12-26 17:30:15.322375,user_1,TIME_ROUTE_SELECT,9.571,route_right,user_2,3
2025-12-26 17:30:15.322375,SYSTEM,TIME_TOTAL_SELECT,41.682,,user_2,3
2025-12-26 17:30:15.327358,user_1,SERVO_SUMMARY_IDLE,6,0.96,user_2,3
2025-12-26 17:30:15.332664,user_2,SERVO_SUMMARY_IDLE,0,0.0,user_2,3
2025-12-26 17:30:15.385364,SYSTEM,START_MOVING,To: 4,Route: route_right,user_2,3
2025-12-26 17:30:28.010291,SYSTEM,WAYPOINT_ARRIVED,At: b,,user_2,b
2025-12-26 17:30:39.627259,SYSTEM,WAYPOINT_ARRIVED,At: d,,user_2,d
2025-12-26 17:30:51.728389,SYSTEM,WAYPOINT_ARRIVED,At: f,,user_2,f
2025-12-26 17:31:08.872569,SYSTEM,WAYPOINT_ARRIVED,At: e,,user_2,e
2025-12-26 17:31:26.973552,SYSTEM,WAYPOINT_ARRIVED,At: c,,user_2,c
2025-12-26 17:31:38.655462,SYSTEM,WAYPOINT_ARRIVED,At: a,,user_2,a
2025-12-26 17:31:56.349620,user_1,SERVO_SUMMARY_MOVING,20,5.726,user_2,4
2025-12-26 17:31:56.352022,user_2,SERVO_SUMMARY_MOVING,0,0.0,user_2,4
2025-12-26 17:31:56.352620,SYSTEM,TIME_TRAVEL,101.022,To: 4,user_2,4
2025-12-26 17:31:56.355263,SYSTEM,ROLE_SWAP,At: 4,user_2->user_1,user_1,4
2025-12-26 17:32:29.520403,user_1,TIME_DEST_SELECT,33.168,9,user_1,4
2025-12-26 17:32:52.591820,user_2,TIME_ROUTE_SELECT,23.071,route_left,user_1,4
2025-12-26 17:32:52.591820,SYSTEM,TIME_TOTAL_SELECT,56.239,,user_1,4
2025-12-26 17:32:52.659999,user_1,SERVO_SUMMARY_IDLE,10,3.917,user_1,4
2025-12-26 17:32:52.659999,user_2,SERVO_SUMMARY_IDLE,0,0.0,user_1,4
2025-12-26 17:32:52.665000,SYSTEM,START_MOVING,To: 9,Route: route_left,user_1,4
2025-12-26 17:33:07.628115,SYSTEM,WAYPOINT_ARRIVED,At: a,,user_1,a
2025-12-26 17:33:24.709734,SYSTEM,WAYPOINT_ARRIVED,At: c,,user_1,c
2025-12-26 17:33:40.330141,user_1,SERVO_SUMMARY_MOVING,24,9.404,user_1,9
2025-12-26 17:33:40.333370,user_2,SERVO_SUMMARY_MOVING,0,0.0,user_1,9
2025-12-26 17:33:40.333370,SYSTEM,TIME_TRAVEL,47.67,To: 9,user_1,9
2025-12-26 17:33:40.333370,SYSTEM,ROLE_SWAP,At: 9,user_1->user_2,user_2,9
